osmid,geometry,type,district
2406752312,POINT (44.5435193 40.2031217),work,Qanaqer zeuytun
2408533085,POINT (44.5857998 40.214979),shop,Avan
2411916046,POINT (44.4648559 40.1576704),cafe,Malatia
2421493634,POINT (44.5104231 40.1615884),school,Erebuni
2427294346,POINT (44.57989 40.2134312),university,Avan
2429265231,POINT (44.5812845 40.2174266),shop,Avan
2441301190,POINT (44.4959477 40.2005591),work,Arabkir
2452459784,POINT (44.5192131 40.1683824),school,Kentron
2501615123,POINT (44.5048636 40.183849),cafe,Kentron
2513967802,POINT (44.5151363 40.1787929),cafe,Kentron
2513972963,POINT (44.5153683 40.1789271),work,Kentron
2513982496,POINT (44.5134814 40.1873185),cafe,Kentron
2513995926,POINT (44.515021 40.1891565),cafe,Kentron
2513995933,POINT (44.5158549 40.1901228),cafe,Kentron
2513995939,POINT (44.5158657 40.1900019),cafe,Kentron
2513995942,POINT (44.515071 40.1900557),cafe,Kentron
2514024846,POINT (44.5166008 40.1849907),cafe,Kentron
2514048932,POINT (44.5273632 40.1794354),cafe,Kentron
2514055410,POINT (44.5180876 40.1784742),cafe,Kentron
2584186315,POINT (44.5505307 40.2163643),work,Avan
2592433363,POINT (44.4821162 40.1517176),shop,Shengavit
2592433364,POINT (44.4848719 40.1496109),shop,Shengavit
